Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,G11,G22,rho,delta
7.85,NaN,NaN,-1.2295207431895e-06,1,-0.999999999999956,-1,-0.000551952909944076,-4.05853332984562e-05,0.261189436730819,13.0594718365409,0.00310796257538002,-0.000549470758688359,0.137317874275587,0.00278760704413403,0.592252743850174,0.0122527438501736
7.86,NaN,NaN,-1.2295207431895e-06,1,-0.999999999999957,-1,-0.000571669700101811,-4.53385189160761e-05,0.263501931833134,13.1750965916567,0.00479090253227553,-0.000551952909944076,0.136343842505259,0.00245754635721914,0.592533832381371,0.0125338323813708
7.87,NaN,NaN,-1.2295207431895e-06,1,-0.999999999999959,-1,-0.000574836694243466,-4.51431742569171e-05,0.282422211865351,14.1211105932676,0.0363867350877757,-0.000571669700101811,0.121983116276338,0.00183141798683239,0.592308545036867,0.0123085450368667
7.88,NaN,NaN,-1.2295207431895e-06,0,-0.999999999999961,-1,-0.000576069068280069,-3.48927850962226e-05,0.285592782810087,14.2796391405044,0.0445458231902334,-0.000574836694243466,0.131125857561081,0.00114166257414552,0.591731318192901,0.0117313181929013
7.89,NaN,NaN,-1.2295207431895e-06,1,-0.999999999999962,-1,-0.000592623852622164,-3.99092123259902e-05,0.287587815444167,14.3793907722084,0.0487319922404884,-0.000576069068280069,0.119770200315404,0.00056238284969917,0.592546633119115,0.0125466331191153
7.9,NaN,NaN,-1.2295207431895e-06,1,-0.999999999999964,-1,-0.000595896983511492,-4.08110628072999e-05,0.304045269765349,15.2022634882675,0.107567533249673,-0.000592623852622164,0.116501822256129,5.63683206281546e-05,0.591946818806074,0.0119468188060736
7.91,NaN,NaN,-1.2295207431895e-06,1,-0.999999999999965,-1,-0.000591523131820244,-3.98592382384434e-05,0.307360590540416,15.3680295270208,0.121944227989388,-0.000595896983511492,0.135042186626565,0.000482178034546118,0.592146518613119,0.012146518613119
7.92,NaN,NaN,-1.2295207431895e-06,1,-0.999999999999966,-1,-0.000609204459564426,-4.39030479273654e-05,0.302915021774378,15.1457510887189,0.10288831662576,-0.000591523131820244,0.129152436626489,0.000961126020851138,0.591259225879815,0.0112592258798153
7.93,NaN,NaN,-1.2295207431895e-06,1,-0.999999999999968,-1,-0.000617867928563166,-4.5038214331621e-05,0.321070468113762,16.0535234056881,0.189846032416606,-0.000609204459564426,0.12131997224142,0.00147745811859867,0.590968627450206,0.010968627450206
7.94,NaN,NaN,-1.2295207431895e-06,0,-0.999999999999969,-1,-0.000612827690904693,-3.43680088202592e-05,0.330226683091331,16.5113341545665,0.242393679066776,-0.000617867928563166,0.123696024606657,0.00193152973711651,0.591091877320233,0.0110918773202327
7.95,NaN,NaN,-1.2295207431895e-06,0,-0.99999999999997,-1,-0.000625339999592514,-2.48152262366182e-05,0.325681107976909,16.2840553988455,0.214436367762762,-0.000612827690904693,0.130121630013173,0.00235445026534568,0.591514852994564,0.0115148529945637
7.96,NaN,NaN,-1.2295207431895e-06,1,-0.999999999999971,-1,-0.000627985907972184,-2.85383304160513e-05,0.339966604857104,16.9983302428552,0.30264664055115,-0.000625339999592514,0.130988843539256,0.00326339831644462,0.592941456212811,0.0129414562128113
