Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1
2.16,NaN,NaN,1,0,3.74387959704979e-05,1,1,1,1,0.000708066260204854,-0.0209025370041638,-0.0590940953944128,841737.41026203,1870527.57836007,82630.2652263812
2.17,NaN,NaN,1,0,3.74387959704979e-05,1,1,1,1,0.000640196329618116,-0.0202633257187954,-0.0576710912237824,801591.796939439,1781315.10430986,102740.076485401
2.18,NaN,NaN,1,0,3.74387959704979e-05,0,1,1,1,0.000667385557236244,-0.0196106979503359,-0.0562443283198554,762494.414822676,1694432.03293928,125010.173889059
2.19,NaN,NaN,1,0,3.74387959704979e-05,1,1,1,1,0.000690680371134387,-0.0189206243812456,-0.0547914369117217,723054.28205329,1606787.29345176,150366.160849137
2.2,NaN,NaN,1,0,3.74387959704979e-05,1,1,1,1,0.00078052770331744,-0.0181757889389448,-0.0532937043307461,683751.216924571,1519447.14872127,178809.548618565
2.21,NaN,NaN,1,0,3.74387959704979e-05,1,1,1,1,0.000921862421900069,-0.0173781983210185,-0.0517530843146973,643338.925127671,1429642.05583927,211676.484472665
2.22,NaN,NaN,1,0,3.74387959704979e-05,1,1,1,1,0.00106829832994688,-0.0165643896244271,-0.0502057443623684,602257.765095537,1338350.58910119,249254.045597885
2.23,NaN,NaN,1,0,3.74387959704979e-05,1,1,1,1,0.00116189003731505,-0.0157916004694416,-0.0487083249912106,562233.169858994,1249407.0441311,290320.016494919
2.24,NaN,NaN,1,0,3.74387959704979e-05,1,1,1,1,0.00117107538413236,-0.0151018217632518,-0.0473022232389729,525441.107367481,1167646.90526107,332278.750289667
2.25,NaN,NaN,1,0,3.74387959704979e-05,0,1,1,1,0.00115630278618168,-0.0145022114262937,-0.0459942778652983,493088.878641124,1095753.06364694,372735.023856341
2.26,NaN,NaN,1,0,3.74387959704979e-05,1,1,1,1,0.00103623803973946,-0.0139743355490465,-0.0447673954698313,464495.621748847,1032212.49277521,411510.837113576
2.27,1,0.18,1,0,1.98266203671181e-05,1,1,1,1,0.000905051471580262,-0.0134964222858305,-0.0435986656621238,439663.436212362,977029.858249692,0
2.28,NaN,NaN,1,0,1.98266203671181e-05,1,1,1,1,0.000784564609505667,-0.0130478370870548,-0.042468120006709,416994.79870153,926655.108225622,679.213258967126
2.29,NaN,NaN,1,0,1.98266203671181e-05,1,1,1,1,0.000689623193876946,-0.0126107048671185,-0.0413585556165783,395700.052917722,879333.450928272,2618.4190143479
2.3,NaN,NaN,1,0,1.98266203671181e-05,1,1,1,1,0.00063296224052303,-0.0121664863627857,-0.040252008479246,375183.943861216,833742.097469368,5767.95020223701
2.31,NaN,NaN,1,0,1.98266203671181e-05,1,1,1,1,0.00062879977447756,-0.01169285710214,-0.0391265680816081,354909.233125923,788687.184724272,10207.5352440734
2.32,NaN,NaN,1,0,1.98266203671181e-05,1,1,1,1,0.000690986498667333,-0.0111653293020323,-0.0379579486995132,334302.125698806,742893.612664014,16184.7906224177
2.33,NaN,NaN,1,0,1.98266203671181e-05,1,1,1,1,0.000820629124830912,-0.010569760737891,-0.0367319438258432,312824.859346222,695166.354102715,24150.8751988067
2.34,NaN,NaN,1,0,1.98266203671181e-05,1,1,1,1,0.000987637535665546,-0.00992331154210836,-0.0354653336196981,290345.479995537,645212.177767859,34636.8426093631
2.35,NaN,NaN,1,0,1.98266203671181e-05,1,1,1,1,0.00113136548656339,-0.00927978735071311,-0.0342112414617154,267623.298370978,594718.440824394,47791.1629528302
2.36,NaN,NaN,1,0,1.98266203671181e-05,1,1,1,1,0.00119653700136815,-0.00869942788237429,-0.0330290814096215,246201.836745625,547115.192768055,62851.3072966483
2.37,NaN,NaN,1,0,1.98266203671181e-05,1,1,1,1,0.00116961045359076,-0.00821122447292152,-0.0319471685274263,227433.345410028,505407.434244506,78374.9848349251
2.38,NaN,NaN,1,0,1.98266203671181e-05,1,1,1,1,0.00107560418030818,-0.00780783025234702,-0.030957879656366,211654.057065386,470342.349034192,93232.5111941304
2.39,NaN,NaN,1,0,1.98266203671181e-05,1,1,1,1,0.000950752309248943,-0.0074654507871856,-0.030037584511069,198336.846157932,440748.547017627,107163.058968171
2.4,NaN,NaN,1,0,1.98266203671181e-05,1,1,1,1,0.00082405381307137,-0.00716027039298024,-0.0291629292881052,186708.487197878,414907.749328617,120489.90198828
2.41,NaN,NaN,1,0,1.98266203671181e-05,0,1,1,1,0.000762568674894129,-0.00687271705228209,-0.0283149144032216,176127.657835492,391394.795189981,133679.184080425
2.42,NaN,NaN,1,0,1.98266203671181e-05,1,1,1,1,0.000674839046344304,-0.0065837229562967,-0.0274761829227859,165881.384608017,368625.299128926,147529.934838702
2.43,1,0.16,1,0,1.10071891115222e-05,0,1,1,1,0.000679938040366592,-0.00627422538796789,-0.0266266288950457,156172.572523654,347050.161163676,0
2.44,NaN,NaN,1,0,1.10071891115222e-05,1,1,1,1,0.000692246451538561,-0.00591765993948331,-0.025741119436918,146099.145983903,324664.768853118,377.676260689007
2.45,NaN,NaN,1,0,1.10071891115222e-05,1,1,1,1,0.00078089901493962,-0.00549078384950197,-0.0247950583572235,135795.200408266,301767.11201837,1608.50370571186
2.46,NaN,NaN,1,0,1.10071891115222e-05,1,1,1,1,0.000935515304006267,-0.0049891805733016,-0.0237838413013843,124697.734725854,277106.077168564,4033.02216054476
2.47,NaN,NaN,1,0,1.10071891115222e-05,1,1,1,1,0.00110679367398134,-0.00444970755890646,-0.0227437834998398,112975.92632182,251057.614048488,8056.11711717096
2.48,NaN,NaN,1,0,1.10071891115222e-05,1,1,1,1,0.00122438843396194,-0.00394003036832801,-0.021741723430383,101452.425402454,225449.834227676,13741.9994940115
2.49,NaN,NaN,1,0,1.10071891115222e-05,0,1,1,1,0.0012914685645851,-0.00351416740253657,-0.0208308154366472,91194.0108173799,202653.357371955,20452.2183236877
2.5,NaN,NaN,1,0,1.10071891115222e-05,1,1,1,1,0.00121394811970075,-0.00318247913395157,-0.0200219802185656,82617.9461561345,183595.435902521,27402.4873080138
2.51,NaN,NaN,1,0,1.10071891115222e-05,1,1,1,1,0.00108530049519598,-0.00292677297109211,-0.0192955243709149,75930.2925953754,168733.983545279,33610.7640145769
2.52,NaN,NaN,1,0,1.10071891115222e-05,0,1,1,1,0.000988049026265694,-0.00272003371330887,-0.0186248192632093,70456.6533806672,156570.340845927,39289.5447966343
2.53,NaN,NaN,1,0,1.10071891115222e-05,1,1,1,1,0.000845603233468648,-0.00253826060524395,-0.0179875911192707,65593.1184499187,145762.485444264,44926.2343038279
