Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS
0.92,NaN,NaN,1,0,0.00087140606802683,1,1,1,1,0.0781779590129435,-0.644486324527438,0.0590328249817687,82873648.5155247,184163663.367833
0.93,NaN,NaN,1,0,0.00087140606802683,1,1,1,1,0.0633157400929316,-0.626679013470495,0.0350703379065574,77679614.2503856,172621365.000857
0.94,NaN,NaN,1,0,0.00087140606802683,1,1,1,1,0.0513320365789841,-0.609641839748035,0.0125680483359034,73402843.0352926,163117428.967317
0.95,NaN,NaN,1,0,0.00087140606802683,1,1,1,1,0.0416730572836112,-0.593287250774862,-0.00855202039172831,69808656.1421369,155130346.982526
0.96,NaN,NaN,1,0,0.00087140606802683,1,1,1,1,0.033882699350776,-0.577551914183465,-0.028370743410163,66731272.9511452,148291717.669212
0.97,NaN,NaN,1,0,0.00087140606802683,1,1,1,1,0.0275860357442585,-0.56239151174256,-0.0469703930327988,64053912.7800559,142342028.400124
0.98,NaN,NaN,1,0,0.00087140606802683,1,1,1,1,0.0224802673085546,-0.547771766973322,-0.0644287143504781,61694264.6859098,137098365.968688
0.99,NaN,NaN,1,0,0.00087140606802683,1,1,1,1,0.0183273675454753,-0.533659955738652,-0.0808129397279617,59592895.8742618,132428657.498359
1,NaN,NaN,1,0,0.00087140606802683,1,1,1,1,0.0149437542202739,-0.520021187814543,-0.0961781019403018,57704424.4556991,128232054.345998
1.01,NaN,NaN,1,0,0.00087140606802683,1,1,1,1,0.0121876815904927,-0.506819292334741,-0.110569538895278,55992030.9276867,124426735.394859
1.02,NaN,NaN,1,0,0.00087140606802683,1,1,1,1,0.00994791240771322,-0.494019128665299,-0.1240264823365,54424841.5994622,120944092.443249
1.03,NaN,NaN,1,0,0.00087140606802683,1,1,1,1,0.00813570000861935,-0.481587980842661,-0.136584466351806,52976802.9116229,117726228.692495
1.04,1,0.13,1,0,0.00120885003303924,1,1,1,1,0.00667963734450852,-0.469495785172454,-0.148276372710875,51625934.746191,114724299.43598
1.05,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.00552179806450116,-0.457715174270884,-0.159133144512732,50353610.3055008,111896911.790002
1.06,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.00461359906844706,-0.446222633165058,-0.169185495876608,49144022.3111191,109208938.469153
1.07,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.00391066256667934,-0.435001522535561,-0.178467397068604,47984172.1313647,106631493.625255
1.08,NaN,NaN,1,0,0.00120885003303924,0,1,1,1,0.00364419912399044,-0.424045778309456,-0.187020168554865,46864568.4262998,104143485.391777
1.09,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.00316261075971107,-0.413353807352421,-0.194893466055497,45764144.1156733,101698098.03483
1.1,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.00276314330667594,-0.40294461802971,-0.202139858455278,44715990.4480423,99368867.6623162
1.11,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.00241405821214721,-0.392825291669779,-0.208806548229172,43703873.4787239,97119718.8416086
1.12,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.00209970345080875,-0.382993514763758,-0.21492936466109,42728570.8959883,94952379.7688628
1.13,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.00181691029777553,-0.373437932126266,-0.220533348096021,41788019.9921861,92862266.6493025
1.14,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.00156859411605718,-0.364142066731585,-0.225636813676621,40877544.8230861,90838988.4957468
1.15,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.00135910141265056,-0.355087781703438,-0.230254891829918,39991247.995944,88869439.9909866
1.16,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.0011924183311466,-0.34625680277477,-0.23440109748604,39123181.9320282,86940404.293396
1.17,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.00107193980371503,-0.337631030425347,-0.238087680808648,38267827.6818959,85039617.0708798
1.18,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.00099995027345564,-0.329193182764472,-0.241326309328293,37420158.1960064,83155907.1022364
1.19,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.000975331714763804,-0.32092930774655,-0.244130621075844,36575804.6706908,81279565.9348684
1.2,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.000989497206126242,-0.312833504275892,-0.24652099057164,35731798.9442217,79403997.6538261
1.21,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.00102368176795578,-0.304912050395698,-0.248528716323946,34887938.7772501,77528752.8383335
1.22,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.00105261558427711,-0.297181634353942,-0.250194343774475,34047836.5850637,75661859.0779194
1.23,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.00105491199153218,-0.289660119600401,-0.251558565461446,33218048.6339698,73817885.8532662
1.24,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.00102235354057112,-0.282356390220707,-0.252652225098342,32405016.4587953,72011147.6862118
1.25,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.000960602530375516,-0.275267011157845,-0.253493109814916,31612037.9699379,70248973.2665286
1.26,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.000882970448703392,-0.2683797573004,-0.254089542614378,30838569.4515922,68530154.3368716
1.27,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.000803904853276665,-0.261678686605523,-0.254445450809572,30081612.1696314,66848027.0436253
1.28,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.000735877779928229,-0.255147096627517,-0.25456328290846,29337399.6948697,65194221.5441548
1.29,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.000689134411134798,-0.248768221657146,-0.254444663689429,28602300.5711695,63560667.9359322
1.3,NaN,NaN,1,0,0.00120885003303924,1,1,1,1,0.000672186808079782,-0.242525222153999,-0.254090353885287,27872987.4142878,61939972.0317506
1.31,NaN,NaN,1,0,0.00120885003303924,0,1,1,1,0.000967130558705595,-0.236402404570579,-0.253501453062944,27146395.2574351,60325322.7943001
1.32,1,0.28,1,0,0.000628655044991303,1,1,1,1,0.000968494261475916,-0.230382534214096,-0.252683440017304,26402942.0717199,58673204.6038219
1.33,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.0010043895184346,-0.224474643941536,-0.2516520955872,25678637.9112296,57063639.8027324
1.34,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.00104966981773826,-0.218693680956429,-0.250437105295699,24955446.0151248,55456546.7002773
1.35,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.00107591810931093,-0.213062937145518,-0.249075744769945,24239306.8204097,53865126.267577
1.36,NaN,NaN,1,0,0.000628655044991303,0,1,1,1,0.00122969265608174,-0.207601132131709,-0.24760011243595,23537730.5235627,52306067.8301394
1.37,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.0011485745061515,-0.202309333591035,-0.246028226217373,22846582.1683649,50770182.5963663
1.38,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.00104699088570696,-0.197184595764235,-0.244364696562618,22188379.4556825,49307509.9015167
1.39,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.000940125508885314,-0.19221208707904,-0.242607146161454,21549730.9011676,47888290.8914836
1.4,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.00084202035970769,-0.187375195472342,-0.24075099834531,20927392.6748526,46505317.0552279
1.41,NaN,NaN,1,0,0.000628655044991303,1,1,1,1,0.000764048082713088,-0.182657346352631,-0.23879123816189,20318001.7897311,45151115.0882914
