Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1,z1
2.96,NaN,NaN,1,0,2.55615600383944e-06,0,1,1,1,0.00112233387916758,0.00575509291178217,0.00353077677854874,9785.68870163963,21745.9748925325,9066.50162706381,0.000934031690145876
2.97,1,0.13,1,0,1.6003596542978e-06,1,1,1,1,0.00135712025685434,0.00609226708768178,0.00405727302730157,11526.9046452061,25615.3436560134,0,0.00112233387916758
2.98,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00154336723008281,0.00642345855547515,0.00457378558699869,13918.2488744931,30929.4419433179,293.392075612027,0.00135712025685434
2.99,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00160644319607462,0.00666368355882967,0.0049965058531296,16419.0204502013,36486.7121115584,1098.21533671193,0.00154336723008281
3,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00154488212868152,0.00678705516849122,0.0053004292567327,18323.4185440975,40718.7078757722,1966.8920621033,0.00160644319607462
3.01,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00140692226160141,0.00681770494892622,0.00550994388563292,19344.9203972616,42988.7119939147,2517.3441290881,0.00154488212868152
3.02,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00124308803907805,0.00679189509563029,0.00566097176494713,19670.4201240931,43712.0447202069,2736.56783400477,0.00140692226160141
3.03,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.0010863459859147,0.00673837293477356,0.00578158391233425,19618.564743835,43596.8105418555,2779.43178598334,0.00124308803907805
3.04,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000955285605789896,0.00667793767737608,0.00589182354896675,19431.8608954614,43181.9131010254,2776.15424775388,0.0010863459859147
3.05,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000863260717082077,0.00662966613806473,0.00601009133484043,19267.6517506667,42817.0038903704,2802.74723415799,0.000955285605789896
3.06,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00082665599960646,0.00661808891710992,0.00616040448928339,19257.3424057809,42794.0942350686,2914.87000724272,0.000863260717082077
3.07,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.000869102971571498,0.00667792888759228,0.00637718877925678,19572.3277725606,43494.0617168013,3191.1069075586,0.00082665599960646
3.08,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00101220638913284,0.00684614637496042,0.00669738810623721,20476.1553294112,45502.5673986915,3785.66854425193,0.000869102971571498
3.09,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00124265567528004,0.00712855767509672,0.007127177382107,22294.0826264018,49542.4058364484,4974.95004369893,0.00101220638913284
3.1,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00148285877934741,0.0074636769699354,0.0076058835434312,25160.9691837187,55913.2648527082,7053.32489832669,0.00124265567528004
3.11,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00162859101241549,0.00774810372667614,0.00803128369937029,28608.3964561579,63574.2143470175,9884.80955150625,0.00148285877934741
3.12,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00163228553074949,0.0079150752750019,0.00833777250123592,31614.2025457271,70253.7834349491,12616.1361665481,0.00162859101241549
3.13,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00152370105669373,0.00796649494251964,0.00852790274804793,33410.7152399969,74246.0338666597,14376.9291164648,0.00163228553074949
3.14,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.0013609919667906,0.00793905148129395,0.00863831106261453,34004.2023588235,75564.8941307189,15041.4650795534,0.00152370105669373
3.15,NaN,NaN,1,0,1.6003596542978e-06,1,1,1,1,0.00118982269825317,0.00786862654586771,0.00870430527721841,33835.6227753349,75190.2728340775,15000.6982855948,0.0013609919667906
3.16,NaN,NaN,1,0,1.6003596542978e-06,0,1,1,1,0.00103636842202147,0.00778061373741743,0.00875048629278248,33324.9841072698,74055.5202383774,14658.7677779091,0.00118982269825317
