Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1
1.42,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,1.63437589114546e-05,-0.184969090032475,-0.246423779908486,21347432.460132,47438738.8002934,1100693.79386608
1.43,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-3.09836610173731e-05,-0.180457850258605,-0.244314532042561,20736068.4435322,46080152.0967381,1341080.46212478
1.44,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-6.92293276812182e-05,-0.176057780262889,-0.242122843010372,20135425.6684543,44745390.3743428,1601912.34327046
1.45,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.000100135956877605,-0.171765947471232,-0.239855357926753,19545749.5870112,43434999.082247,1882416.45894851
1.46,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.000125111851184238,-0.167579533325832,-0.237518393181099,18967244.0119311,42149431.1376247,2181841.78260735
1.47,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.000145295071180583,-0.163495822349329,-0.235117951633146,18400075.2297357,40889056.0660792,2499456.18965197
1.48,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.00016160529272539,-0.159512193040597,-0.232659736911867,17844375.5359981,39654167.8577736,2834544.00440529
1.49,NaN,NaN,1,0,0.000592634106216251,0,1,1,1,-1.68727859836803e-05,-0.15562611025719,-0.230149166911118,17300246.295888,38444991.76864,3186404.03097158
1.5,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-5.78262166794908e-05,-0.15183126778298,-0.227591386560641,16759333.6367764,37242963.6372809,3558095.29803659
1.51,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-9.09210116522208e-05,-0.148129968863502,-0.224991147763954,16239964.0677239,36088809.0393864,3941220.58167118
1.52,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.000117665180228044,-0.144519740603539,-0.222353118381733,15732024.2052205,34960053.7893789,4339116.83709812
1.53,NaN,NaN,1,0,0.000592634106216251,0,1,1,1,1.86355704463249e-05,-0.140998207190191,-0.21968172118963,15235572.3375995,33856827.4168877,4751126.04059676
1.54,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-2.91316297815521e-05,-0.137559229445787,-0.216981145622141,14742663.9218148,32761475.3818106,5181359.11898246
1.55,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-6.77326864233014e-05,-0.134205282950348,-0.214255226615136,14270602.927023,31712450.94894,5619290.08493616
1.56,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-9.89265091039521e-05,-0.130934070512062,-0.211507752448674,13809757.4682478,30688349.9294396,6069469.06591089
1.57,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.000124134486762767,-0.127743393855262,-0.208742302537245,13360135.436749,29689189.8594421,6531267.57889798
1.58,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.000144505255172677,-0.124631142977042,-0.205962257993462,12921714.5465806,28714921.2146236,7004066.55296709
1.59,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.000160967036090873,-0.121595287342919,-0.203170811463869,12494446.5391967,27765436.7537705,7487256.36324604
1.6,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.000174269932945114,-0.118633868573596,-0.200370976324989,12078260.7422839,26840579.4272975,7980236.94107227
1.61,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.000185020110316201,-0.115744994341547,-0.197565595312746,11673067.0965813,25940149.103514,8482417.93478987
1.62,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.000193707414651195,-0.11292683324997,-0.194757348646212,11278758.7443758,25063908.3208352,8993218.90401779
1.63,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.000200727694782739,-0.110177610510224,-0.191948761696783,10895214.2564449,24211587.2365443,9512069.53543374
1.64,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.00020640083931928,-0.107495604269004,-0.189142212245758,10522299.5601191,23382887.9113758,10038409.8713933
1.65,1,0.32,1,0,0.000171021773533052,1,1,1,1,-0.000210985352804416,-0.104879142464964,-0.186339937366779,10159869.6194786,22577488.0432859,0
1.66,NaN,NaN,1,0,0.000171021773533052,0,1,1,1,-0.000137681241317267,-0.10232660011747,-0.183544039964159,9807769.90912819,21795044.2425071,7187.39469225238
1.67,NaN,NaN,1,0,0.000171021773533052,0,1,1,1,-7.84436023916093e-05,-0.099834518952837,-0.180756494993741,9462651.92735738,21028115.3941275,28623.4164622167
1.68,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000107582085985269,-0.0974017675432657,-0.177979090932065,9128146.87086315,20284770.8241403,63709.971328343
1.69,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000131129127685175,-0.095029054242519,-0.175213516038715,8807029.94321905,19571177.6515979,111379.856631204
1.7,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000150157680459202,-0.0927147785427435,-0.172461424940946,8495350.99788304,18878557.7730734,171412.20096903
1.71,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000165534806184316,-0.090457405133775,-0.169724360543267,8192966.58392782,18206592.4087285,243292.577259147
1.72,NaN,NaN,1,0,0.000171021773533052,0,1,1,1,-0.000100952290989191,-0.088255457292096,-0.167003760099702,7899721.35098696,17554936.3355266,326511.089058859
1.73,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000125771537310484,-0.086105633378634,-0.16430096085074,7612574.41024698,16916832.0227711,421491.14155213
1.74,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000145828168816691,-0.0840088424879097,-0.161617140821242,7337614.80395254,16305810.6754501,525830.759012897
1.75,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.00016203609318991,-0.08196367515771,-0.158953468805845,7071174.2655542,15713720.5901204,640017.767517142
1.76,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000175133846539302,-0.0799687785858435,-0.156311025108254,6813091.42660757,15140203.1702391,763573.601425005
1.77,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000185718245802973,-0.0780228509715861,-0.153690806523112,6563197.23338863,14584882.7408636,896027.723168817
1.78,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.00019427158352314,-0.0761246368158024,-0.151093730952672,6321316.81448519,14047370.698856,1036918.39272311
1.79,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000201183604161508,-0.0742729229988828,-0.148520641703707,6087271.02666091,13527268.9481354,1185793.28475011
1.8,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000206769263335539,-0.0724665354902638,-0.14597231150232,5860877.73774379,13024172.7505417,1342209.97987005
1.81,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000211283079199347,-0.0707043365712877,-0.143449446258034,5641952.89425174,12537673.0983372,1505736.35179757
1.82,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000214930729909416,-0.0689852224757761,-0.140952688603365,5430311.41244584,12067358.6943241,1675950.86806201
1.83,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.00021787842562943,-0.0673081213709697,-0.138482621230934,5225767.92415971,11612817.6092438,1852442.81867
1.84,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000220260482122338,-0.0656719916162616,-0.136039770046741,5028137.40279874,11173638.6728861,2034812.48431107
1.85,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000222185441030709,-0.0640758202490934,-0.13362460715545,4837235.69008556,10749412.6446346,2222671.25347209
1.86,NaN,NaN,1,0,0.000171021773533052,1,1,1,1,-0.000223741015724235,-0.0625186216570291,-0.13123755369125,4652879.94023871,10339733.2005305,2415641.69603379
1.87,NaN,NaN,1,0,0.000171021773533052,0,1,1,1,-0.000147989194568076,-0.0609994364028296,-0.128878982505971,4474888.99513633,9944197.76696963,2613357.59949511
