Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS
1.85,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000202896832069828,-0.0640798856741428,-0.133637072656961,4837374.85244008,10749721.8943113
1.86,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000208153736514075,-0.0625221175472511,-0.131249730885337,4653113.59421697,10340252.4315933
1.87,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000212401883050707,-0.0610024669117987,-0.128890861740347,4475191.67624146,9944870.39164768
1.88,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000215834844252132,-0.0595199795959426,-0.126560796253041,4303435.46058657,9563189.91241461
1.89,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000218609047662692,-0.0580737294178831,-0.124259821343736,4137672.43997155,9194827.64438123
1.9,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000220850903632394,-0.0566628165974146,-0.121988182296657,3977731.69793672,8839403.7731927
1.91,NaN,NaN,1,0,0.000171004781891013,0,1,1,1,-0.000145656932425936,-0.0552863663800403,-0.119746085095128,3823444.28596738,8496542.85770528
1.92,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000161897715692649,-0.0539416498987413,-0.117533698629389,3672612.51788439,8161361.15085421
1.93,1,0.28,1,0,6.60370757090943e-05,1,1,1,1,-0.000175022022576746,-0.0526301230822533,-0.115351092332855,3529501.94764149,7843337.66142553
1.94,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.00018562787996424,-0.051350900532711,-0.113198383226236,3391476.13055634,7536613.62345852
1.95,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000194198558165933,-0.0501031330285285,-0.111075653925229,3258392.43056216,7240872.06791591
1.96,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000201124591786147,-0.0488860038435997,-0.108982955063013,3130107.97431831,6955795.49848514
1.97,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.00020672157496291,-0.0476987256932858,-0.10692030750326,3006480.42341208,6681067.60758239
1.98,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000211244541843918,-0.0465405381888522,-0.104887704372378,2887368.58780117,6416374.63955816
1.99,NaN,NaN,1,0,6.60370757090943e-05,0,1,1,1,-0.000158036417688436,-0.0454107057046826,-0.102885112934627,2772632.91106232,6161406.46902739
2,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000171901676769157,-0.0443071288587807,-0.100912476329681,2660853.02392339,5913006.71982976
2.01,NaN,NaN,1,0,6.60370757090943e-05,1,1,1,1,-0.000183106303554361,-0.043230803073493,-0.0989696675937845,2554693.07671842,5677095.72604093
