Time,X1_pred,X2_pred,X3_pred,U_pred,Event_pred
1.429,6.93325674483261e-08,0.0105494860587034,0.030599545304619,-2.44159326474316e-05,0
1.439,6.18735574965934e-07,0.0102922174330032,0.0299113871711807,-1.4626930761796e-05,1
1.449,1.0480728295148e-06,0.010041236215569,0.029238018027427,-1.4626930761796e-05,0
1.459,-1.95983495962901e-06,0.00979638614733199,0.0285791460820804,-1.4626930761796e-05,0
1.469,-1.0641834086833e-06,0.00955743388386185,0.0279344841956,-1.4626930761796e-05,0
1.479,-3.52401007035945e-07,0.00932433079149532,0.0273037470748005,-1.4626930761796e-05,0
1.489,2.13264431621143e-07,0.00909692974247977,0.0266866575491249,-1.4626930761796e-05,0
1.499,6.56861392690702e-07,0.00887508811772961,0.0260829429113452,-1.4626930761796e-05,0
1.509,1.00394219216856e-06,0.00865866736268132,0.0254923349191187,-1.4626930761796e-05,0
1.519,1.27059773167292e-06,0.00844753292484585,0.0249145697812467,-1.4626930761796e-05,0
1.529,-1.78001080599581e-06,0.00824155392547452,0.0243493881422613,-1.4626930761796e-05,0
1.539,-9.97382804630164e-07,0.00804052374077044,0.0237965350562728,-1.4626930761796e-05,0
1.549,-3.77877492685678e-07,0.00784441516512982,0.0232557572359021,-1.4626930761796e-05,0
1.559,1.11764925055711e-07,0.00765310419719938,0.022726809153349,-1.4626930761796e-05,0
1.569,5.00171369650073e-07,0.00746647067075351,0.0222094494518441,-1.4626930761796e-05,0
1.579,8.02817637302512e-07,0.00728439804818504,0.0217034409341195,-1.4626930761796e-05,0
1.589,-2.1580276424973e-06,0.00710677301129767,0.0212085505441884,-1.4626930761796e-05,0
1.599,-4.55071039986576e-06,0.00693340751005103,0.0207245493357046,-1.4626930761796e-05,0
1.609,-3.30724581929043e-06,0.0067642115229289,0.0202512097659645,-1.4626930761796e-05,0
1.619,-2.30642945008227e-06,0.00659917204271544,0.019788309012267,-1.4626930761796e-05,0
1.629,-1.50771516347306e-06,0.00643818178721474,0.0193356314531981,-9.18162227363546e-06,1
1.639,-8.72298543814289e-07,0.00628113707932024,0.0188929651857622,-9.18162227363546e-06,0
1.649,-3.63189045576407e-07,0.00612793771662227,0.0184601020214929,-9.18162227363546e-06,0
1.659,3.78261851607923e-08,0.00597848684243575,0.0180368374782211,-9.18162227363546e-06,0
1.669,3.55365258452869e-07,0.00583269040627644,0.0176229707676997,-9.18162227363546e-06,0
1.679,6.04153742485123e-07,0.00569045725163114,0.0172183047651349,-9.18162227363546e-06,0
1.689,8.01187364800677e-07,0.00555169880413293,0.0168226459827764,-9.18162227363546e-06,0
1.699,9.52945749538351e-07,0.0054163290639528,0.016435804533711,-9.18162227363546e-06,0
1.709,1.070252381789e-06,0.00528426428655818,0.016057594096638,-9.18162227363546e-06,0
1.719,-8.97000349589708e-07,0.00515542303364672,0.0156878318708964,-9.18162227363546e-06,0
1.729,-4.41572396909874e-07,0.00502967585697765,0.0153263385347844,-9.18162227363546e-06,0
1.739,-2.1187180478545e-06,0.00490700638322749,0.0149729364783567,-9.18162227363546e-06,0
1.749,-1.43924548708889e-06,0.00478728754938269,0.0146274536256316,-9.18162227363546e-06,0
1.759,-2.92494565341289e-06,0.0046705048690362,0.0142897194455626,-9.18162227363546e-06,0
1.769,-2.1041909559501e-06,0.00455653393614537,0.0139595687628671,-9.18162227363546e-06,0
1.779,-1.44424051717137e-06,0.00444536242813975,0.0136368378015443,-9.18162227363546e-06,0
1.789,-9.19159326026704e-07,0.00433691815391121,0.0133213679837784,-9.18162227363546e-06,0
1.799,-4.98295330975074e-07,0.00423113131535329,0.0130130036967177,-9.18162227363546e-06,0
