Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,x1_3,XX1,SS,gg1,z1,chi,Normalized chi
9.63,NaN,NaN,3.39876166683509e-10,1,-2.69877613815571e-13,3.01910280790793e-10,3.19472563293104e-09,1.06607989101513e-11,-2.94514687246307e-09,-1.03872091790983e-08,2.82730603861823e-08,6.73168104432912e-08,6.73168104432912e-08,1.34938806907786e-11,2.66530061427043e+19,9.65491573730468e-06
9.64,NaN,NaN,3.39876166683509e-10,1,-2.13215978203027e-13,2.94514687246307e-10,3.11616275372948e-09,8.37733233363112e-12,-2.87306359078129e-09,-1.01317827166099e-08,2.69020303940348e-08,6.40524533191304e-08,6.40524533191304e-08,1.06607989101513e-11,2.66530061427043e+19,9.65491573730468e-06
9.65,NaN,NaN,3.39876166683509e-10,1,-1.67546646672622e-13,2.87306359078129e-10,3.03953481498298e-09,6.53786017776446e-12,-2.80279389098929e-09,-9.88264895877326e-09,2.55973082291472e-08,6.09459719741601e-08,6.09459719741601e-08,8.37733233363112e-12,2.66530061427043e+19,9.65491573730468e-06
9.66,NaN,NaN,3.39876166683509e-10,1,-1.30757203555289e-13,2.80279389098929e-10,2.96479468763198e-09,5.05703493294613e-12,-2.73428271757358e-09,-9.63965417313678e-09,2.43557402581072e-08,5.7989857757398e-08,5.7989857757398e-08,6.53786017776446e-12,2.66530061427043e+19,9.65491573730468e-06
9.67,NaN,NaN,3.39876166683509e-10,1,-1.01140698658923e-13,2.73428271757358e-10,2.89189625194103e-09,3.86589161384217e-12,-2.6674784390292e-09,-9.40264801403894e-09,2.31743107999373e-08,5.51769304760412e-08,5.51769304760412e-08,5.05703493294613e-12,2.66530061427043e+19,9.65491573730468e-06
9.68,NaN,NaN,3.39876166683509e-10,1,-7.73178322768435e-14,2.6674784390292e-10,2.82079440421168e-09,2.9087036897322e-12,-2.60233236483781e-09,-9.17148352388545e-09,2.20501386679002e-08,5.25003301616672e-08,5.25003301616672e-08,3.86589161384217e-12,2.66530061427043e+19,9.65491573730468e-06
9.69,NaN,NaN,3.39876166683509e-10,0,-5.8174073794644e-14,2.60233236483781e-10,2.75144505716564e-09,6.75700640985341e-11,-2.53879835089963e-09,-8.94601711780462e-09,2.09804732188084e-08,4.99535076638294e-08,4.99535076638294e-08,2.9087036897322e-12,2.66530061427043e+19,9.65491573730468e-06
9.7,NaN,NaN,3.39876166683509e-10,1,-1.35140128197068e-12,2.53879835089963e-10,2.68380513534139e-09,5.43987281531258e-11,-2.47523684436307e-09,-8.72610855528691e-09,1.99193671529998e-08,4.74270646499995e-08,4.74270646499995e-08,6.75700640985341e-11,2.66530061427043e+19,9.65491573730468e-06
9.71,NaN,NaN,3.39876166683509e-10,0,-1.08797456306252e-12,2.47523684436307e-10,2.61783256658607e-09,1.09179564787598e-10,-2.41354662165611e-09,-8.51156613642458e-09,1.89578204444812e-08,4.51376677249552e-08,4.51376677249552e-08,5.43987281531258e-11,2.66530061427043e+19,9.65491573730468e-06
9.72,1,0.2,2.06466439177714e-10,1,-2.18359129575196e-12,2.41354662165611e-10,2.55346984092737e-09,8.80337410257265e-11,-2.35202489814731e-09,-8.30226991063869e-09,1.80020719103673e-08,4.28620759770651e-08,0,1.09179564787598e-10,7.61514461220122e+19,2.75854735351562e-05
9.73,NaN,NaN,2.06466439177714e-10,1,-1.76067482051453e-12,2.35202489814731e-10,2.49068097319161e-09,7.0950721571764e-11,-2.2925191881138e-09,-8.09804560131997e-09,1.71355536110806e-08,4.07989371692395e-08,4.07989371692395e-08,8.80337410257265e-11,7.61514461220122e+19,2.75854735351562e-05
9.74,NaN,NaN,2.06466439177714e-10,1,-1.41901443143528e-12,2.2925191881138e-10,2.42941368039599e-09,5.71506957350925e-11,-2.2348812474263e-09,-7.8987883237659e-09,1.63094121683443e-08,3.8831933734153e-08,3.8831933734153e-08,7.0950721571764e-11,7.61514461220122e+19,2.75854735351562e-05
9.75,NaN,NaN,2.06466439177714e-10,1,-1.14301391470185e-12,2.2348812474263e-10,2.36963649712977e-09,4.60035098721119e-11,-2.17898546442842e-09,-7.70439170509178e-09,1.55220246565321e-08,3.69572015631717e-08,3.69572015631717e-08,5.71506957350925e-11,7.61514461220122e+19,2.75854735351562e-05
9.76,NaN,NaN,2.06466439177714e-10,1,-9.20070197442238e-13,2.17898546442842e-10,2.31131751152753e-09,3.69999464766646e-11,-2.12472465831215e-09,-7.51474871209973e-09,1.47717895224734e-08,3.51709274344605e-08,3.51709274344605e-08,4.60035098721119e-11,7.61514461220122e+19,2.75854735351562e-05
9.77,NaN,NaN,2.06466439177714e-10,1,-7.39998929533292e-13,2.12472465831215e-10,2.25442461362992e-09,2.97285151324146e-11,-2.07200668037517e-09,-7.32975230652563e-09,1.4057132286391e-08,3.34693625866452e-08,3.34693625866452e-08,3.69999464766646e-11,7.61514461220122e+19,2.75854735351562e-05
9.78,NaN,NaN,2.06466439177714e-10,1,-5.94570302648293e-13,2.07200668037517e-10,2.19892569195769e-09,2.38566975398429e-11,-2.02075166416232e-09,-7.1492959611449e-09,1.33765114615646e-08,3.1848836813249e-08,3.1848836813249e-08,2.97285151324146e-11,7.61514461220122e+19,2.75854735351562e-05
