Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,x1_3,XX1,SS,gg1,z1,G11,G22,rho,delta
14.35,NaN,NaN,1.15443183557177e-20,1,3.23036115551576e-22,4.17484720085124e-17,4.32639428640985e-16,-1.68977730123492e-20,-4.07303914110495e-16,-1.40696350446666e-15,6.3917665850633e-23,6.3917665850633e-22,2.27475811178519e-23,-1.61518057775788e-20,0.0338841510891446,0.00240259221772754,0.58433619799833,0.00433619799832964
14.36,NaN,NaN,1.15443183557177e-20,1,3.37955460246984e-22,4.07303914110495e-17,4.22089051339998e-16,-1.74033372484382e-20,-3.97371405643073e-16,-1.37265318800646e-15,6.08382748064273e-23,6.08382748064273e-22,2.90086699243143e-23,-1.68977730123492e-20,0.036288580660417,0.0023065315673516,0.583793516371798,0.00379351637179837
14.37,NaN,NaN,1.15443183557177e-20,1,3.48066744968764e-22,3.97371405643073e-17,4.11795956401937e-16,-1.77236108685063e-20,-3.87681133588841e-16,-1.33917956667218e-15,5.7907241643992e-23,5.7907241643992e-22,3.58497037838482e-23,-1.74033372484382e-20,0.0336320045176004,0.00262653090895194,0.584292418069807,0.0042924180698073
14.38,NaN,NaN,1.15443183557177e-20,1,3.54472217370127e-22,3.87681133588841e-17,4.01753870001654e-16,-1.78931306763895e-20,-3.78227186009708e-16,-1.30652223745189e-15,5.51174187671792e-23,5.51174187671792e-22,4.3221243566981e-23,-1.77236108685063e-20,0.0363405760098995,0.00238005001057656,0.584284757147906,0.00428475714790574
14.39,NaN,NaN,1.15443183557177e-20,0,3.57862613527791e-22,3.78227186009708e-17,3.91956671235568e-16,-1.22443197067204e-20,-3.69003795984267e-16,-1.27466129469629e-15,5.24620029478994e-23,5.24620029478994e-22,5.10767563074935e-23,-1.78931306763895e-20,0.0328924753752151,0.00259711728176565,0.584562184933458,0.00456218493345844
14.4,1,0.12,8.59527074673333e-21,0,2.44886394134408e-22,3.69003795984267e-17,3.82398388408888e-16,-8.24536901542627e-21,-3.60005199013824e-16,-1.2435773180255e-15,4.99345182894017e-23,4.99345182894017e-22,0,-1.22443197067204e-20,0.0366058549875761,0.00320755127639572,0.58411181146333,0.0041118114633302
14.41,NaN,NaN,8.59527074673333e-21,1,1.64907380308525e-22,3.60005199013824e-17,3.7307319540765e-16,-9.98184250676616e-21,-3.51225953305288e-16,-1.21325135575678e-15,4.75287990670669e-23,4.75287990670668e-22,2.96951044418294e-25,-8.24536901542627e-21,0.0333059745859075,0.00336800876725451,0.584822056436455,0.00482205643645467
14.42,NaN,NaN,8.59527074673333e-21,0,1.99636850135323e-22,3.51225953305288e-17,3.63975406727034e-16,-6.41704309032564e-21,-3.42660849409225e-16,-1.18366491989384e-15,4.52389798341949e-23,4.52389798341949e-22,1.15901563943967e-24,-9.98184250676616e-21,0.0343338564793338,0.00292523202056847,0.58422954652526,0.00422954652526006
14.43,NaN,NaN,8.59527074673333e-21,1,1.28340861806513e-22,3.42660849409225e-17,3.55099475968152e-16,-8.34328587394726e-21,-3.34304535767112e-16,-1.15479997818667e-15,4.30594786289174e-23,4.30594786289174e-22,2.54483804920911e-24,-6.41704309032564e-21,0.0354706272227415,0.00331868585569557,0.58460257564373,0.00460257564373042
14.44,NaN,NaN,8.59527074673333e-21,1,1.66865717478945e-22,3.34304535767112e-17,3.46439993456e-16,-9.82153328160795e-21,-3.26152054521072e-16,-1.12663893361194e-15,4.09849790056464e-23,4.09849790056464e-22,4.41540117668625e-24,-8.34328587394726e-21,0.0331309914977268,0.00308798968193679,0.584344101288399,0.00434410128839892
14.45,NaN,NaN,8.59527074673333e-21,1,1.96430665632159e-22,3.26152054521072e-17,3.37991680083583e-16,-1.09444136791046e-20,-3.18198423885199e-16,-1.09916462294779e-15,3.90104242290838e-23,3.90104242290838e-22,6.733900874975e-24,-9.82153328160795e-21,0.0329234144737805,0.00399914201865336,0.585003182937305,0.00500318293730489
14.46,NaN,NaN,8.59527074673333e-21,1,2.18888273582092e-22,3.18198423885199e-17,3.29749386884336e-16,-1.17773223200659e-20,-3.10438785823327e-16,-1.07236030106356e-15,3.713099911036e-23,3.713099911036e-22,9.46563523634517e-24,-1.09444136791046e-20,0.028941504419583,0.00335051471966163,0.584772481604552,0.00477248160455222
14.47,NaN,NaN,8.59527074673333e-21,1,2.35546446401318e-22,3.10438785823327e-17,3.21708090319068e-16,-1.23801199058969e-20,-3.02868402367013e-16,-1.04620963081749e-15,3.53421204609986e-23,3.53421204609986e-22,1.25778942370353e-23,-1.17773223200659e-20,0.0340876055338036,0.00372965385501742,0.585026584910239,0.00502658491023862
14.48,NaN,NaN,8.59527074673333e-21,1,2.47602398117937e-22,3.02868402367013e-17,3.13862889245246e-16,-1.27958531368729e-20,-2.95482652552472e-16,-1.02069667317461e-15,3.36394259098471e-23,3.36394259098471e-22,1.60398559636045e-23,-1.23801199058969e-20,0.0349001026337016,0.00427231992792458,0.584695557442487,0.00469555744248683
14.49,NaN,NaN,8.59527074673333e-21,1,2.55917062737457e-22,2.95482652552472e-17,3.06209001952383e-16,-1.30652315387641e-20,-2.88277029157146e-16,-9.95805877558816e-16,3.20187632647734e-23,3.20187632647734e-22,1.9822488023479e-23,-1.27958531368729e-20,0.028902162834514,0.00395908291321111,0.585015883580494,0.00501588358049379
14.5,NaN,NaN,8.59527074673333e-21,1,2.61304630775282e-22,2.88277029157146e-17,2.98741763267645e-16,-1.32171184316826e-20,-2.81247135868892e-16,-9.71522072423974e-16,3.04761803834647e-23,3.04761803834647e-22,2.38984538994275e-23,-1.30652315387641e-20,0.0300915285981899,0.00397642726458995,0.585158334145675,0.00515833414567468
14.51,NaN,NaN,8.59527074673333e-21,0,2.64342368633653e-22,2.81247135868892e-17,2.91456621727192e-16,-9.03149544745803e-21,-2.74388684292325e-16,-9.4783045605153e-16,2.90079155359286e-23,2.90079155359286e-22,2.82420239905632e-23,-1.32171184316826e-20,0.0335368709708818,0.00395981283692064,0.585177492932993,0.00517749293299285
14.52,1,0.12,6.40199317939067e-21,1,1.80629908949161e-22,2.74388684292325e-17,2.84349136815459e-16,-9.82898284311498e-21,-2.67697387699567e-16,-9.24716587561211e-16,2.76103879849764e-23,2.76103879849764e-22,0,-9.03149544745803e-21,0.0333982088496314,0.00452013603888252,0.585080147751456,0.00508014775145566
14.53,NaN,NaN,6.40199317939067e-21,1,1.965796568623e-22,2.67697387699567e-17,2.77414976268363e-16,-1.04114313940448e-20,-2.61169291205142e-16,-9.02166374583559e-16,2.62801887067263e-23,2.62801887067263e-22,1.64193800155337e-25,-9.82898284311498e-21,0.0316298002550064,0.00462257892134397,0.585009832939924,0.00500983293992405
14.54,NaN,NaN,6.40199317939067e-21,0,2.08228627880896e-22,2.61169291205142e-17,2.70649912375068e-16,-7.18506972579913e-21,-2.548004096041e-16,-8.80166072687845e-16,2.50140753966797e-23,2.50140753966797e-22,6.40856513632399e-25,-1.04114313940448e-20,0.033740036241023,0.00473403880835792,0.585381557580431,0.00538155758043093
14.55,NaN,NaN,6.40199317939067e-21,1,1.43701394515983e-22,2.548004096041e-17,2.64049821806354e-16,-8.15653699885504e-21,-2.4858676723738e-16,-8.58702272399485e-16,2.38089603152086e-23,2.38089603152086e-22,1.40712131823035e-24,-7.18506972579913e-21,0.0338372468531025,0.00440350825706451,0.585159490137546,0.00515949013754566
14.56,NaN,NaN,6.40199317939067e-21,1,1.63130739977101e-22,2.4858676723738e-17,2.57610681719846e-16,-8.88278147003019e-21,-2.4252468065823e-16,-8.37761888031311e-16,2.26619038504238e-23,2.26619038504238e-22,2.44141448306061e-24,-8.15653699885504e-21,0.0341541940381969,0.00482407966708737,0.584778499753099,0.00477849975309865
14.57,NaN,NaN,6.40199317939067e-21,1,1.77655629400604e-22,2.4252468065823e-17,2.51328566409393e-16,-9.41474474567363e-21,-2.36610447895409e-16,-8.17332156599852e-16,2.15701099904627e-23,2.15701099904627e-22,3.72338587267975e-24,-8.88278147003019e-21,0.0322054071306333,0.00522558558332303,0.585029169299653,0.00502916929965304
14.58,NaN,NaN,6.40199317939067e-21,1,1.88294894913473e-22,2.36610447895409e-17,2.45199646979956e-16,-9.79115801139574e-21,-2.30840458499964e-16,-7.97400626113699e-16,2.05309162774566e-23,2.05309162774566e-22,5.23384773752031e-24,-9.41474474567363e-21,0.0282626646314444,0.00513755812145235,0.585315812341828,0.00531581234182832
14.59,NaN,NaN,6.40199317939067e-21,1,1.95823160227915e-22,2.30840458499964e-17,2.3922018783411e-16,-1.0042043388489e-20,-2.25211191015496e-16,-7.7795514804086e-16,1.95417885313925e-23,1.95417885313925e-22,6.95471369659014e-24,-9.79115801139574e-21,0.0283892486815188,0.00497256009820393,0.585298883035425,0.00529888303542499
14.6,NaN,NaN,6.40199317939067e-21,1,2.0084086776978e-22,2.25211191015496e-17,2.33386544412258e-16,-1.019184043906e-20,-2.19719210595513e-16,-7.58983869947835e-16,1.8600314668039e-23,1.8600314668039e-22,8.86894135761388e-24,-1.0042043388489e-20,0.0319590927934941,0.00496055903174271,0.585014486889316,0.00501448688931585
14.61,NaN,NaN,6.40199317939067e-21,0,2.03836808781201e-22,2.19719210595513e-17,2.27695160984351e-16,-7.0076165183483e-21,-2.14361166755133e-16,-7.40475228309545e-16,1.77041988154479e-23,1.77041988154479e-22,1.09604778079386e-23,-1.019184043906e-20,0.029666966406191,0.0055400075553633,0.585237842532595,0.00523784253259523
14.62,NaN,NaN,6.40199317939067e-21,1,1.40152330366966e-22,2.14361166755133e-17,2.22142568492863e-16,-7.64086603854678e-21,-2.0913371187622e-16,-7.22417941488874e-16,1.6851255568777e-23,1.6851255568777e-22,1.32142082424369e-23,-7.0076165183483e-21,0.0313055005441553,0.00577629499686336,0.585376672128914,0.0053766721289143
14.63,NaN,NaN,6.40199317939067e-21,1,1.52817320770936e-22,2.0913371187622e-17,2.16725382446662e-16,-8.10524591015e-21,-2.04033754382494e-16,-7.04801000160109e-16,1.60394043332697e-23,1.60394043332697e-22,1.56159080335662e-23,-7.64086603854678e-21,0.0278515098166213,0.00536044230315585,0.585643816396749,0.00564381639674915
14.64,1,0.12,4.76417382875623e-21,1,1.62104918203e-22,2.04033754382494e-17,2.11440300048033e-16,-8.43306574818463e-21,-1.99058180877001e-16,-6.8761366675053e-16,1.52666662391342e-23,1.52666662391342e-22,0,-8.10524591015e-21,0.0276846141849476,0.00578512499339331,0.585528984887909,0.00552898488790948
14.65,NaN,NaN,4.76417382875623e-21,1,1.68661314963693e-22,1.99058180877001e-17,2.06284100025159e-16,-8.65121845864907e-21,-1.94203954677128e-16,-6.70845465364378e-16,1.45311568861234e-23,1.45311568861234e-22,9.07879126849466e-26,-8.43306574818463e-21,0.0278717538337902,0.00610493903841745,0.585261802577626,0.00526180257762655
14.66,NaN,NaN,4.76417382875623e-21,1,1.73024369172981e-22,1.94203954677128e-17,2.01253639609314e-16,-8.78461556349494e-21,-1.89468113811681e-16,-6.54486175434571e-16,1.38310826633713e-23,1.38310826633713e-22,3.54349720860641e-25,-8.65121845864907e-21,0.0275300926606702,0.00628428961316586,0.585878737787069,0.00587873778706863
14.67,NaN,NaN,4.76417382875623e-21,0,1.75692311269899e-22,1.89468113811681e-17,1.96345852630371e-16,-6.18471126943708e-21,-1.84847769150575e-16,-6.3852582552355e-16,1.31647363750472e-23,1.31647363750472e-22,7.78041572637726e-25,-8.78461556349494e-21,0.0287035130739171,0.00572402439468261,0.58585152939313,0.00585152939312961
