Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,x1_3,XX1,SS,gg1,z1,chi,Normalized chi
10.17,NaN,NaN,2.40067305673924e-11,1,-1.41349045854768e-14,-9.62744980025246e-12,-3.18258850027204e-11,5.8074389229405e-13,9.39438872156433e-11,1.05749523245966e-10,4.88712093450468e-12,1.16360022250111e-11,1.16360022250111e-11,7.06745229273841e-13,68536.6862601039,0.350000178736744
10.18,NaN,NaN,2.40067305673924e-11,1,-1.1614877845881e-14,-9.39438872156433e-12,-3.17248569737898e-11,4.78671040918992e-13,9.16670402394168e-11,1.05344330206133e-10,4.76240969440925e-12,1.13390707009744e-11,1.13390707009744e-11,5.8074389229405e-13,68536.6862601039,0.350000178736744
10.19,NaN,NaN,2.40067305673924e-11,1,-9.57342081837984e-15,-9.16670402394168e-12,-3.160329906184e-11,3.95941301514487e-13,8.9443229479773e-11,1.04874898259896e-10,4.63948043150347e-12,1.10463819797702e-11,1.10463819797702e-11,4.78671040918992e-13,68536.6862601039,0.350000178736744
10.2,NaN,NaN,2.40067305673924e-11,1,-7.91882603028974e-15,-8.9443229479773e-12,-3.14624694779687e-11,3.28849098452108e-13,8.72716332629698e-11,1.04345252524024e-10,4.51833928016421e-12,1.07579506670576e-11,1.07579506670576e-11,3.95941301514487e-13,68536.6862601039,0.350000178736744
10.21,NaN,NaN,2.40067305673924e-11,0,-6.57698196904215e-15,-8.72716332629698e-12,-3.13035757572073e-11,4.87244512928999e-12,8.51513595855497e-11,1.03759251763746e-10,4.39899818479896e-12,1.04738052019023e-11,1.04738052019023e-11,3.28849098452108e-13,68536.6862601039,0.350000178736744
10.22,NaN,NaN,2.40067305673924e-11,1,-9.74489025857999e-14,-8.51513595855498e-12,-3.11277755291239e-11,3.9458767760508e-12,8.31935976987049e-11,1.03120591688406e-10,4.32905519076657e-12,1.03072742637299e-11,1.03072742637299e-11,4.87244512928999e-12,68536.6862601039,0.350000178736744
10.23,NaN,NaN,2.40067305673924e-11,1,-7.8917535521016e-14,-8.31935976987049e-12,-3.09361775065219e-11,3.19690461408997e-12,8.12609835285642e-11,1.02436657400692e-10,4.20747798261431e-12,1.00178047205103e-11,1.00178047205103e-11,3.9458767760508e-12,68536.6862601039,0.350000178736744
10.24,NaN,NaN,2.40067305673924e-11,1,-6.39380922817993e-14,-8.12609835285642e-12,-3.07309972202076e-11,2.59145191315223e-12,7.93572348360769e-11,1.01709865922053e-10,4.08916343772848e-12,9.73610342316304e-12,9.73610342316304e-12,3.19690461408997e-12,68536.6862601039,0.350000178736744
10.25,NaN,NaN,2.40067305673924e-11,1,-5.18290382630446e-14,-7.93572348360769e-12,-3.05129597766158e-11,2.10198148187553e-12,7.74851476879355e-11,1.0094267891792e-10,3.9737540835986e-12,9.46131924666333e-12,9.46131924666333e-12,2.59145191315223e-12,68536.6862601039,0.350000178736744
10.26,NaN,NaN,2.40067305673924e-11,0,-4.20396296375107e-14,-7.74851476879355e-12,-3.02828036753759e-11,6.30532759339353e-12,7.56467784136683e-11,1.00137569531044e-10,3.86100235596174e-12,9.19286275228985e-12,9.19286275228985e-12,2.10198148187553e-12,68536.6862601039,0.350000178736744
10.27,NaN,NaN,2.40067305673924e-11,1,-1.26106551867871e-13,-7.56467784136683e-12,-3.00412708593133e-11,5.10279232334255e-12,7.39557484525143e-11,9.92969965983137e-11,3.79983170000978e-12,9.04721833335662e-12,9.04721833335662e-12,6.30532759339353e-12,68536.6862601039,0.350000178736744
10.28,NaN,NaN,2.40067305673924e-11,1,-1.02055846466851e-13,-7.39557484525143e-12,-2.97890989794941e-11,4.13084049378633e-12,7.22766314113922e-11,9.84272342794536e-11,3.68469260746103e-12,8.77307763681197e-12,8.77307763681197e-12,5.10279232334255e-12,68536.6862601039,0.350000178736744
10.29,NaN,NaN,2.40067305673924e-11,1,-8.26168098757266e-14,-7.22766314113922e-12,-2.95281702838361e-11,3.34522582106057e-12,7.06147600082845e-11,9.7529693287816e-11,3.57372285158749e-12,8.50886393235116e-12,8.50886393235116e-12,4.13084049378633e-12,68536.6862601039,0.350000178736744
10.3,NaN,NaN,2.40067305673924e-11,1,-6.69045164212115e-14,-7.06147600082845e-12,-2.92589079863448e-11,2.71019323026164e-12,6.89742578780607e-11,9.66059189477959e-11,3.46631705807193e-12,8.25313585255222e-12,8.25313585255222e-12,3.34522582106057e-12,68536.6862601039,0.350000178736744
10.31,NaN,NaN,2.40067305673924e-11,1,-5.42038646052328e-14,-6.89742578780607e-12,-2.89817756843388e-11,2.19684930232315e-12,6.73582761334948e-11,9.56575450765604e-11,3.36205312567352e-12,8.00488839446077e-12,8.00488839446077e-12,2.71019323026164e-12,68536.6862601039,0.350000178736744
10.32,NaN,NaN,2.40067305673924e-11,1,-4.3936986046463e-14,-6.73582761334948e-12,-2.86972635229681e-11,1.78184545021553e-12,6.5769184417363e-11,9.46862575678965e-11,3.26063345447035e-12,7.76341298683416e-12,7.76341298683416e-12,2.19684930232315e-12,68536.6862601039,0.350000178736744
10.33,NaN,NaN,2.40067305673924e-11,0,-3.56369090043107e-14,-6.57691844173631e-12,-2.8405877270369e-11,6.04662310512083e-12,6.42087251819712e-11,9.36937657832239e-11,3.16184553467865e-12,7.52820365399678e-12,7.52820365399678e-12,1.78184545021553e-12,68536.6862601039,0.350000178736744
10.34,NaN,NaN,2.40067305673924e-11,1,-1.20932462102417e-13,-6.42087251819712e-12,-2.81081297349672e-11,4.89254028370621e-12,6.27903259986231e-11,9.26817802197077e-11,3.11089669466525e-12,7.40689689206011e-12,7.40689689206011e-12,6.04662310512083e-12,68536.6862601039,0.350000178736744
10.35,NaN,NaN,2.40067305673924e-11,1,-9.78508056741242e-14,-6.27903259986231e-12,-2.78045340659123e-11,3.95977409750183e-12,6.13783726983934e-11,9.16558457279317e-11,3.00991645745506e-12,7.16646775584538e-12,7.16646775584538e-12,4.89254028370621e-12,68536.6862601039,0.350000178736744
