Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
8.11,NaN,NaN,2.61584011819194e-13,0,1.3145226177818e-14,2.05505190028774e-10,2.12787208967203e-09,-4.80942242609198e-13,-2.00495137822696e-09,-6.9199977040227e-09,1.81146508870506e-08,1.50955424058755e-08,3.84540887736615e-10,-6.57261308890899e-13,0.252509817358721,0.115886725717984,0.0100501940251802,0.595854199960046,0.0158541999600457
8.12,NaN,NaN,2.61584011819194e-13,1,9.61884485218396e-15,2.00495137822696e-10,2.07599931120681e-09,-5.03959643389789e-13,-1.95606835770461e-09,-6.75130348402874e-09,1.72422215213632e-08,1.43685179344694e-08,5.10980572979683e-10,-4.80942242609198e-13,0.252509817358721,0.109502968439729,0.0107940090760129,0.596457923516307,0.0164579235163071
8.13,NaN,NaN,2.61584011819194e-13,1,1.00791928677958e-14,1.95606835770461e-10,2.02539104520862e-09,-5.1975133515893e-13,-1.90837800872909e-09,-6.58672142402304e-09,1.64118049194772e-08,1.36765040995643e-08,6.51630069183958e-10,-5.03959643389789e-13,0.252509817358721,0.128001417481446,0.0109126526863951,0.596469505284319,0.0164695052843189
8.14,NaN,NaN,2.61584011819194e-13,1,1.03950267031786e-14,1.90837800872909e-10,1.97601642720691e-09,-5.29484004976607e-13,-1.86185106940603e-09,-6.42615132132332e-09,1.56213827567257e-08,1.30178189639381e-08,8.05309481287085e-10,-5.1975133515893e-13,0.252509817358721,0.105211939067146,0.0123840838821422,0.594914269864726,0.0149142698647261
8.15,NaN,NaN,2.61584011819194e-13,1,1.05896800995321e-14,1.86185106940603e-10,1.927845396397e-09,-5.34946979403804e-13,-1.81645901990285e-09,-6.26949540807701e-09,1.48690287769628e-08,1.23908573141357e-08,9.70908491810406e-10,-5.29484004976607e-13,0.252509817358721,0.108494477600058,0.0114133749013933,0.596399466924011,0.0163994669240109
8.16,NaN,NaN,2.61584011819194e-13,1,1.06989395880761e-14,1.81645901990285e-10,1.8808486224231e-09,-5.36689307044849e-13,-1.77217407953647e-09,-6.1166582931621e-09,1.41529095055364e-08,1.17940912546137e-08,1.14738203017448e-09,-5.34946979403804e-13,0.252509817358721,0.10932080012426,0.0125813212879411,0.596044250632942,0.0160442506329421
8.17,NaN,NaN,2.61584011819194e-13,1,1.0733786140897e-14,1.77217407953647e-10,1.83499748794863e-09,-5.35468302792313e-13,-1.72896915850094e-09,-5.96754690598204e-09,1.34712797954452e-08,1.12260664962043e-08,1.33374683813958e-09,-5.36689307044849e-13,0.252509817358721,0.121998932125978,0.0122196193930084,0.595552563945945,0.0155525639459455
8.18,NaN,NaN,2.61584011819194e-13,1,1.07093660558463e-14,1.72896915850094e-10,1.79026407179461e-09,-5.32345011577955e-13,-1.68681784609808e-09,-5.82207044053299e-09,1.28224785481442e-08,1.06853987901201e-08,1.52907821770224e-09,-5.35468302792313e-13,0.252509817358721,0.106271601481266,0.0143975576805941,0.597617775986082,0.0176177759860822
8.19,NaN,NaN,2.61584011819194e-13,0,1.06469002315591e-14,1.68681784609808e-10,1.7466211321599e-09,-3.79996383420229e-13,-1.64569440158308e-09,-5.6801403009868e-09,1.22049246745326e-08,1.01707705621105e-08,1.73250693480998e-09,-5.32345011577955e-13,0.252509817358721,0.10656612878237,0.0143234387278978,0.597520064648026,0.017520064648026
8.2,NaN,NaN,2.61584011819194e-13,1,7.59992766840458e-15,1.64569440158308e-10,1.70404209029604e-09,-4.01838640978436e-13,-1.60557011918348e-09,-5.54167004882746e-09,1.16171126445533e-08,9.68092720379438e-09,1.94321650352575e-09,-3.79996383420229e-13,0.252509817358721,0.108430807204467,0.0157406696791833,0.59717615858419,0.0171761585841899
8.21,NaN,NaN,2.61584011819194e-13,1,8.03677281956872e-15,1.60557011918348e-10,1.66250101464824e-09,-4.17236505706072e-13,-1.56642488032589e-09,-5.40657522704222e-09,1.10576073745611e-08,9.21467281213421e-09,2.16044106843197e-09,-4.01838640978436e-13,0.252509817358721,0.108664977036096,0.0136367337950028,0.597545226144284,0.0175452261442841
8.22,1,0.17,1.72961839217178e-13,1,8.34473011412143e-15,1.56642488032589e-10,1.62197256811267e-09,-4.27515035417118e-13,-1.52823465191605e-09,-5.27477358684223e-09,1.0525049195278e-08,8.77087432939837e-09,0,-4.17236505706072e-13,0.252509817358721,0.119475219065319,0.0147902752406606,0.598145250649067,0.0181452506490668
