Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1,z1,G11,G22,rho,delta
2.04,1,0.12,1.09803374208322e-07,1,4.58449079350986e-09,0.00065978901280292,0.00578284717966009,-2.44036326591415e-07,-0.00643699390562913,-0.0188412213163699,11771.4954608813,117714.954608813,0,-2.29224539675493e-07,0.377014775747542,0.0658581528943551,0.644752914118997,0.0647529141189972
2.05,NaN,NaN,1.09803374208322e-07,1,4.8807265318283e-09,0.000643699301657548,0.00565230619939905,-2.54620778111423e-07,-0.00628002088656645,-0.0184154834231785,11241.6566035543,112416.566035543,61.0384379868906,-2.44036326591415e-07,0.34380687515962,0.0638628120484257,0.644379515354919,0.0643795153549188
2.06,NaN,NaN,1.09803374208322e-07,1,5.09241556222845e-09,0.000628002006098117,0.00552458882044879,-2.61587999741865e-07,-0.00612687622664267,-0.0179989700779969,10735.2514808853,107352.514808853,238.820823110345,-2.54620778111423e-07,0.37290685657903,0.0792695601397408,0.641332118561276,0.0613321185612766
2.07,NaN,NaN,1.09803374208322e-07,1,5.2317599948373e-09,0.000612687545999468,0.00539963854502035,-2.66550064643799e-07,-0.00597746647545008,-0.0175914960728307,10251.2678227707,102512.678227707,525.642547680989,-2.61587999741865e-07,0.324118386537407,0.0727889026682676,0.648588144004816,0.0685881440048158
2.08,NaN,NaN,1.09803374208322e-07,1,5.33100129287597e-09,0.000597746576353183,0.00527739982749945,-2.68919752407126e-07,-0.00583170050086971,-0.0171928793489894,9788.73567092939,97887.3567092939,914.178569662461,-2.66550064643799e-07,0.373780947218573,0.0734874904811127,0.644141792809093,0.0641417928090929
2.09,NaN,NaN,1.09803374208322e-07,1,5.37839504814252e-09,0.000583169983977403,0.00515781806600549,-2.69640641399293e-07,-0.005689489378901,-0.0168029409685643,9346.72569956105,93467.2569956105,1397.4670892958,-2.68919752407126e-07,0.359773326543506,0.075667186002006,0.644631406326248,0.0646314063262477
2.1,NaN,NaN,1.09803374208322e-07,1,5.39281282798586e-09,0.000568948876499969,0.00504083959389974,-2.69259654292292e-07,-0.00555074637714406,-0.0164215050831038,8924.3475795288,89243.4757952879,1968.89387240624,-2.69640641399293e-07,0.372812807052962,0.0810190014828096,0.647702750742546,0.0677027507425461
2.11,NaN,NaN,1.09803374208322e-07,1,5.38519308584584e-09,0.000555074580706795,0.00492641167044899,-2.68205797674464e-07,-0.00541538689167984,-0.0160483989027979,8520.74842627024,85207.4842627024,2622.17715591668,-2.69259654292292e-07,0.377485385346217,0.0760152413635707,0.653378292405551,0.0733782924055515
2.12,NaN,NaN,1.09803374208322e-07,1,5.36411595348928e-09,0.000541538636230029,0.00481448247163809,-2.66218698823466e-07,-0.00528332839228723,-0.0156834526645523,8135.11129291198,81351.1129291197,3351.35314900336,-2.68205797674464e-07,0.32043804697656,0.078571018811995,0.653823742809437,0.0738237428094366
2.13,NaN,NaN,1.09803374208322e-07,1,5.32437397646932e-09,0.000528332790069896,0.00470500108064641,-2.63350891673175e-07,-0.00515449035505993,-0.0153264995992796,7766.65372094089,77666.5372094089,4150.76210048389,-2.66218698823466e-07,0.362813130920045,0.076032778818861,0.652223059141344,0.0722230591413439
2.14,NaN,NaN,1.09803374208322e-07,1,5.26701783346349e-09,0.000515448989856507,0.00459791747808576,-2.59709744157244e-07,-0.00502879422110928,-0.0149773758979995,7414.62634270211,74146.2634270211,5015.03492216174,-2.63350891673175e-07,0.307621065144397,0.0818461572000856,0.649336862446861,0.0693368624468614
2.15,NaN,NaN,1.09803374208322e-07,1,5.19419488314487e-09,0.000502879379720257,0.00449318253187826,-2.55991924154075e-07,-0.00490616334998062,-0.0146359206776853,7078.31154250921,70783.1154250921,5939.08032809925,-2.59709744157244e-07,0.381333587311917,0.0811453664179199,0.65372964237714,0.0737296423771402
