Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
4.17,NaN,NaN,9.14478610284714e-10,1,3.52156823716578e-11,3.43263143806276e-06,3.49522176973706e-05,-1.76709778967782e-09,-3.34892414922011e-05,-0.000113686773413197,30.0053387030029,6.00106774060058,0.701719883892411,-1.76078411858289e-09,0.234016312187999,0.215371012894987,0.0604866457886521,0.630237635702265,0.0502376357022648
4.18,NaN,NaN,9.14478610284714e-10,1,3.53419557935563e-11,3.34892414920759e-06,3.41060320107348e-05,-1.76549679565154e-09,-3.26725824541446e-05,-0.000110934233722605,28.5692484818284,5.71384969636567,0.804661031612339,-1.76709778967782e-09,0.234016312187999,0.212424934241776,0.0692271209013841,0.633322726239104,0.0533227262391044
4.19,NaN,NaN,9.14478610284714e-10,0,3.53099359130309e-11,3.26725824540283e-06,3.32802701044945e-05,-1.25123095505562e-09,-3.18758392410057e-05,-0.000108248137327768,27.2017981485175,5.4403596297035,0.911905197163978,-1.76549679565154e-09,0.234016312187999,0.203053060128648,0.0606944842425475,0.626940376021629,0.0469403760216292
4.2,NaN,NaN,9.14478610284714e-10,0,2.50246191011125e-11,3.18758392408978e-06,3.24744411869148e-05,-8.35648615143335e-10,-3.10985136632046e-05,-0.000105626887312835,25.8997121147413,5.17994242294826,1.02302410091914,-1.25123095505562e-09,0.234016312187999,0.244729527122187,0.0548109687404007,0.629327665155395,0.0493276651553953
4.21,NaN,NaN,9.14478610284714e-10,0,1.67129723028667e-11,3.10985136631044e-06,3.1688066183244e-05,-4.99813201601495e-10,-3.03401345894628e-05,-0.000103068924472432,24.6598697341608,4.93197394683215,1.13761534261711,-8.35648615143335e-10,0.234016312187999,0.228975855317233,0.0659067106860784,0.628307720167897,0.0483077201678967
4.22,1,0.17,5.95085983347812e-10,1,9.99626403202991e-12,3.03401345893697e-06,3.09206773318753e-05,-7.081506382263e-10,-2.96002419161741e-05,-0.000100572726946069,23.4793004877688,4.69586009755375,0,-4.99813201601495e-10,0.234016312149013,0.218119788972609,0.0582924887625445,0.629859696736244,0.0498596967362436
4.23,NaN,NaN,5.95085983347812e-10,1,1.4163012764526e-11,2.96002419160877e-06,3.01718180746651e-05,-8.68275065731527e-10,-2.8878398086234e-05,-9.81368093148727e-05,22.3551755367781,4.47103510735561,0.00275742564374102,-7.081506382263e-10,0.234016312149013,0.210230434315454,0.0556713338895895,0.628047428202893,0.0480474282028931
4.24,NaN,NaN,5.95085983347812e-10,1,1.73655013146305e-11,2.88783980861538e-06,2.94410427859555e-05,-9.92396154401446e-10,-2.81741617667291e-05,-9.57597221246833e-05,21.284801707018,4.25696034140361,0.0107647400249749,-8.68275065731527e-10,0.234016312149013,0.2242906491742,0.0600907880900424,0.632188488111579,0.0521884881115789
4.25,NaN,NaN,5.95085983347812e-10,1,1.98479230880289e-11,2.81741617666545e-06,2.8727916629502e-05,-1.08319138769802e-09,-2.74871026852889e-05,-9.34400505220776e-05,20.2656128026662,4.05312256053324,0.0236411437740779,-9.92396154401446e-10,0.234016312149013,0.228684695788299,0.0591477638388245,0.62671863570642,0.0467186357064199
4.26,NaN,NaN,5.95085983347812e-10,1,2.16638277539603e-11,2.74871026852196e-06,2.80320151492808e-05,-1.14881641880754e-09,-2.68168011278911e-05,-9.11764134464233e-05,19.2951649237074,3.85903298474148,0.0410271228756803,-1.08319138769802e-09,0.234016312149013,0.206197131039161,0.0583434208658497,0.624608000931142,0.0446080009311424
