Time,X1_1_pred,X1_2_pred,U_pred,Event_pred
1.4929,9.24907563935169e-05,2.31059990103203e-05,1.12049656236177e-06,1
1.5029,0.000101870223123429,1.98830344936398e-05,1.25429482866938e-06,1
1.5129,0.000109417790126849,1.68896629129568e-05,1.36340999152548e-06,1
1.5229,0.000115291303515346,1.41210178686593e-05,1.44991482667073e-06,1
1.5329,0.000119642466817065,1.15711611068182e-05,1.51580601783317e-06,1
1.5429,0.000122616449400273,9.23325031247013e-06,1.56299845043702e-06,1
1.5529,0.000124351587995602,7.09969399486259e-06,1.59332076422056e-06,1
1.5629,0.000124979172675137,5.16229383592933e-06,1.60851205090173e-06,1
1.5729,0.000124623309035236,3.4123749214642e-06,1.6102195879167e-06,1
1.5829,0.00012340084873364,1.84090431400911e-06,1.59999750436909e-06,1
1.5929,0.000121421380945404,4.38598458077838e-07,1.57930628060302e-06,1
1.6029,0.000118787277722226,-8.03980067302046e-07,1.54951298819363e-06,1
1.6129,0.000115593786662102,-1.89633591596826e-06,1.51189218258351e-06,1
1.6229,0.000111929164717559,-2.8479639173321e-06,1.46762736603601e-06,1
1.6329,0.00010787484738803,-3.66828104333461e-06,1.41781294398645e-06,1
1.6429,0.000103505647952744,-4.3665668468493e-06,1.36345660321445e-06,1
1.6529,9.88899818024299e-05,-4.95191182123678e-06,1.30548204550302e-06,1
1.6629,9.40901113194544e-05,-5.43317313698173e-06,1.24473201556733e-06,1
1.6729,8.91624071349563e-05,-5.81893722080806e-06,1.1819715670043e-06,1
1.6829,8.41576219568808e-05,-6.11748865492866e-06,1.11789151481531e-06,1
1.6929,7.91211735134298e-05,-6.33678488872788e-06,1.05311202767215e-06,1
1.7029,7.40934334915002e-05,-6.4844362718142e-06,9.88186317519298e-07,1
1.7129,6.91100196685429e-05,-6.56769093566455e-06,9.23604388323112e-07,1
1.7229,6.42020887384998e-05,-6.59342407068568e-06,8.59796809784734e-07,1
1.7329,5.93966276178023e-05,-6.56813116614588e-06,7.97138485623013e-07,1
1.7429,5.4716741285711e-05,-6.49792480181327e-06,7.35952389604523e-07,1
1.7529,5.01819354645901e-05,-6.38853460203056e-06,6.76513245849097e-07,1
1.7629,4.5808392680157e-05,-6.24530998514268e-06,6.19051133072228e-07,1
1.7729,4.16092404596019e-05,-6.07322536347656e-06,5.63754995342849e-07,1
1.7829,3.7594810627063e-05,-5.87688747127852e-06,5.10776044640129e-07,1
1.7929,3.37728888416878e-05,-5.66054451999139e-06,4.60231042991029e-07,1
1.8029,3.01489536939124e-05,-5.42809690186645e-06,4.12205454267169e-07,1
1.8129,2.67264048311722e-05,-5.18310918404071e-06,3.66756457821893e-07,1
1.8229,2.35067797256193e-05,-4.92882315576773e-06,3.23915818063398e-07,1
1.8329,2.04899588241834e-05,-4.6681717113892e-06,2.83692605795314e-07,1
1.8429,1.76743589361205e-05,-4.40379337080491e-06,2.46075768720411e-07,1
1.8529,1.50571148157192e-05,-4.13804725758658e-06,2.11036549904595e-07,1
1.8629,1.26342489887565e-05,-3.87302837244265e-06,1.78530754245768e-07,1
1.8729,1.04008299512994e-05,-3.61058301644501e-06,1.48500864094339e-07,1
1.8829,8.35111893922139e-06,-3.35232423425212e-06,1.20878006137917e-07,1
1.8929,6.47870552702362e-06,-3.09964716249412e-06,9.55837725009062e-08,1
1.9029,4.77663236589151e-06,-2.85374418251765e-06,7.25318997289993e-08,1
1.9129,3.23750941403423e-06,-2.61561978982542e-06,5.16298099375847e-08,1
1.9229,1.85361804789171e-06,-2.38610510479412e-06,3.27800189101114e-08,1
1.9329,6.17005471369195e-07,-2.16587196063017e-06,1.58814163457589e-08,1
